year,month,day,country,title,text,hazard-category,product-category,hazard,product
2018,4,18,uk,"Dunnes Stores recalls Chicken, Bacon & Sweetcorn Deli Filler due to possible contamination with Listeria monocytogenes","Dunnes Stores has taken the precautionary step of recalling Chicken, Bacon & Sweetcorn Deli Filler because the product might contain Listeria monocytogenes.
Product: Dunnes Stores Chicken, Bacon & Sweetcorn Deli Filler Pack size: 175g ‘Use By’ dates: all use by dates from 13 April 2018 to 20 April 2018 (inclusive) No other Dunnes Stores products are known to be affected
The product listed above might be contaminated with Listeria monocytogenes. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.
If you have bought the above product, do not eat it. Instead, return it to the store from where it was bought for a full refund.
Dunnes Stores is recalling the above product. Point of sale notices will be displayed in all retail stores that are selling this product. These notices explain to customers why the products are being recalled and tell them what to do if they have bought the product. Please see the attached notice.
FSA-PRIN-21-2018 If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text",biological,feed materials,listeria monocytogenes,herbal premix
2018,5,11,uk,Fabricake Sugarcraft Limited recalls Rolkem’s Special Rose Gold and Super Gold due to high levels of metal,"Fabricake Sugarcraft Limited is recalling Rolkem Special Rose Gold and Rolkem Super Gold which are food colours used to decorate food items (such as cakes) due to high concentration of copper. Product details Rolkem Special Rose Gold Pack size All sizes Batch code All batches Best before description All dates Rolkem Super Gold Pack size All sizes Batch code All batches Best before description All dates No other Fabricake Sugarcraft Limited products are known to be affected. Risk statement High levels of copper Due to the high concentration of copper, nausea, vomiting and/or abdominal pain are possible short-term effects from consumption of food items decorated with this product. Action taken by the company Fabricake Sugarcraft Limited is recalling the above products. Point of sale notices will be displayed in all retail stores that are selling these products. These notices explain to customers why the products are being recalled and tell them what to do if they have bought the products. Please see the attached notice. Consumer Notice: Fabricake Sugarcraft Limited recalls Rolkem’s Special Rose Gol… Our advice to consumers If you have bought any of the above products do not eat it. Instead, return it to the store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-27-2018 Subscribe to news and alerts
Fabricake Sugarcraft Limited is recalling Rolkem Special Rose Gold and Rolkem Super Gold which are food colours used to decorate food items (such as cakes) due to high concentration of copper. Product details Rolkem Special Rose Gold Pack size All sizes Batch code All batches Best before description All dates Rolkem Super Gold Pack size All sizes Batch code All batches Best before description All dates No other Fabricake Sugarcraft Limited products are known to be affected. Risk statement High levels of copper Due to the high concentration of copper, nausea, vomiting and/or abdominal pain are possible short-term effects from consumption of food items decorated with this product. Action taken by the company Fabricake Sugarcraft Limited is recalling the above products. Point of sale notices will be displayed in all retail stores that are selling these products. These notices explain to customers why the products are being recalled and tell them what to do if they have bought the products. Please see the attached notice. Consumer Notice: Fabricake Sugarcraft Limited recalls Rolkem’s Special Rose Gol… Our advice to consumers If you have bought any of the above products do not eat it. Instead, return it to the store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-27-2018 Subscribe to news and alerts",chemical,food additives and flavourings,high content of copper,colours
2019,3,25,us,USA LESS Issues Voluntary Nationwide Recall of LEOPARD Miracle Honey Due to Presence of Undeclared Sildenafil,"USA LESS, is voluntarily recalling all lots of LEOPARD Miracle Honey, to the consumer level. FDA analysis has found LEOPARD Miracle Honey to be tainted with sildenafil. Sildenafil is an FDA approved drug for the treatment of male erectile dysfunction. The presence of sildenafil in LEOPARD Miracle Honey renders it an unapproved drug for which safety and efficacy have not been established and, therefore, subject to recall.
Risk Statement: Consumers with diabetes, hypertension, high cholesterol or heart disease often take nitrates; consumption of undeclared sildenafil along with nitrates could result in a drop in blood pressure that is life-threatening and could result in serious adverse health consequences. To date, USA LESS has not received any reports of adverse events related to this recall.
The product is marketed as a dietary supplement for men for sexual enhancement and is packaged in a wooden box labeled as LEOPARD Miracle Honey, UPC CODE 8 699415 910534 containing 12 SACHETS, total 180 Gr/6.36 Oz., each 1 SACHET is 15 gr/0.53 Oz, labeled LEOPARD Miracle of Honey, UPC CODE 8 699415 912859. USA LESS is a wholesaler of this product that was sold in the Northeast in the USA to stores and consumers.
USA LESS is notifying its customers & consumers thru e-mail and is arranging for returns of recalled products that were purchased from USA LESS. Consumers/retailers that have product which is being recalled should stop using/return to: USA LESS, PO Box 250-138, BROOKLYN, NY 11225.
Consumers with questions regarding this recall can contact USA LESS by phone at 1-800-872-5377 Monday through Friday, from 9AM-5PM EST, or by e-mail at USALESS@OPTONLINE.NET
Adverse reactions or quality problems experienced with the use of this product may be reported to the FDA's MedWatch Adverse Event Reporting program either online, by regular mail or by fax.
Complete and submit the report Online: www.fda.gov/medwatch/report.htm
Regular Mail or Fax: Download form or call 1-800-332-1088 to request a reporting form, then complete and return to the address on the pre-addressed form, or submit by fax to 1-800-FDA-0178
This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.",chemical,honey and royal jelly,unauthorised substance sildenafil,honey
2019,4,30,us,ConAgra Foods Expands Recall of P.F. Chang’s Home Menu Brand Meals Available in Grocery Retailers Due to Potential Presence of Foreign Material ConAgra Foods Does Not Make Meals for P.F. Chang’s Restaurants,"null ConAgra Foods is expanding a voluntary recall of P.F. Chang’s Home Menu Brand products due to the potential presence of small metal fragments (2-9mm) in the sugar used in the sauce. This voluntary action is being undertaken because of impacted sugar from a supplier. Foodborne foreign objects that are not hard and sharp and less than or equal to 7mm in length may cause minor injuries such as temporary reflexive choking and irritation of the gastrointestinal system. There have been no reports of adverse reactions or injuries due to consumption of these products to date. An initial recall was issued on July 7, 2016 after a ConAgra employee observed metal fragments while dispensing sugar from a supplier for a P.F. Chang’s Home Menu Brand sauce ingredient. On July 14, 2016, ConAgra Foods was notified by the supplier of additional production lots of sugar that were impacted, such that the initial recall needed to be expanded to include additional P.F. Chang’s Home Menu Brand meals. Products covered by this recall were distributed in the U.S., specific product names and information are listed below. No other ConAgra Foods are impacted by this recall and these products are not served in P.F. Chang’s restaurants. Meals in P.F. Chang’s restaurants are made fresh every day and in every restaurant. Consumers who have purchased these items are advised not to consume them and return them to the store where originally purchased. ConAgra Foods is cooperating with both the FDA and USDA on this recall and is working with customers to ensure the packages are removed from store shelves and are no longer distributed. Consumers with questions should call our Consumer Affairs hotline at 1-800-252-0634, open 9 am through 7 pm CDT, Monday through Friday.     ",foreign bodies,sugars and syrups,metal fragment,sugar
2019,8,2,us,"pregel america, inc. issues allergy alert on undeclared milk in lemon 50","null PreGel America, Inc. of Concord, North Carolina is voluntarily recalling a single lot of Lemon 50, a powdered flavoring. The product is being recalled due to the possible presence of undeclared milk in the product. People who have an allergy or severe sensitivity to milk run the risk of serious or lifethreatening allergic reaction if they consume this product. The product was distributed to customers in AR, CA, CO, DC, FL, GA, HI, IA, IL, IN, KS, MA, MN, MS, NC, NJ, NV, OK, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI, Canada, Guatemala, and St. Lucia. The recalled product is identified by the name Lemon 50 with product code 306038 and lot number 381081U279N. The lot number is located on the back of the packaging. The product was produced on April 18, 2018 and has a best before date of April 17, 2020. The product is packaged in 2 kg (4.4 lbs) bags, 8 bags per case. No other PreGel products or Lemon 50 lot numbers are recalled. The recall was initiated after it was discovered that several units from the identified lot number tested positive for the presence of milk and were distributed in packaging that did not reveal the presence of milk in the product. A subsequent investigation is ongoing. No adverse events or reports of illness or injury related to this matter have been reported to date. PreGel recommends that anyone who purchased or is in possession of the product immediately discontinue use and verify if they retain the affected lot. Those in possession of recalled lot #381081U279N should contact PreGel America at 704-707-0655 for further instruction. Businesses carrying this product should return it to the North American headquarters in Concord, NC for product replacement or credit. PreGel America will arrange for the return of the product at no cost. If you have questions or inquiries please call this designated line: 704-707-0655, or email QA@pregelamerica.com, Monday – Friday 8:00 a.m. – 5:00 p.m. Eastern Standard Time. This recall is being made with the knowledge of the US Food and Drug Administration.",allergens,food additives and flavourings,milk and products thereof,flavours
2020,1,16,ie,IKEA Recalls Certain Troligtvis Travel Mugs Due to Migration of Elevated Levels of Dibutyl phthalate,"IKEA Recalls Certain Troligtvis Travel Mugs Due to Migration of Elevated Levels of Dibutyl phthalate Tweet Thursday, 16 January 2020 Summary Category 2: For Information Alert Notification: 2020.02 Product: Troligtvis Travel Mug, Beige; article number, 504.124.47; marked “Made in India” Troligtvis Travel Mug, Blue; article number: 504.269.20; marked “Made in India” Batch Code: Article numbers listed above Country Of Origin: India Message: IKEA is recalling Troligtvis Travel Mugs listed above due to migration of elevated levels of dibutyl phthalate (DBP).  Point-of-sale recall notices will be displayed in stores.  The implicated mugs were sold between October 2019 and January 2020.  The recall does not affect the Troligtvis travel mugs marked “Made in Italy.” Health concerns are not expected as they are associated with chronic, life-time exposure to this substance.
IKEA Recalls Certain Troligtvis Travel Mugs Due to Migration of Elevated Levels of Dibutyl phthalate Tweet Thursday, 16 January 2020 Summary Category 2: For Information Alert Notification: 2020.02 Product: Troligtvis Travel Mug, Beige; article number, 504.124.47; marked “Made in India” Troligtvis Travel Mug, Blue; article number: 504.269.20; marked “Made in India” Batch Code: Article numbers listed above Country Of Origin: India Message: IKEA is recalling Troligtvis Travel Mugs listed above due to migration of elevated levels of dibutyl phthalate (DBP).  Point-of-sale recall notices will be displayed in stores.  The implicated mugs were sold between October 2019 and January 2020.  The recall does not affect the Troligtvis travel mugs marked “Made in Italy.” Health concerns are not expected as they are associated with chronic, life-time exposure to this substance.",migration,food contact materials,other,plastics
2020,2,24,ie,Presence of Gluten in Intenson Bio Cukier Kokosowy (Organic Coconut Sugar),"Presence of Gluten in Intenson Bio Cukier Kokosowy (Organic Coconut Sugar) Tweet Monday, 24 February 2020 Summary Allergy Alert Notification: 2020.A12 Allergen(s): Cereals containing gluten Product Identification: Please see table below for detail Message: Gluten was detected in the specified batches of Intenson Bio Cukier Kokosowy (Organic Coconut Sugar). Cereals containing gluten are not declared on the list of ingredients.  This may make the affected batches unsafe for consumers who are allergic to or intolerant of cereals containing gluten.
Presence of Gluten in Intenson Bio Cukier Kokosowy (Organic Coconut Sugar) Tweet Monday, 24 February 2020 Summary Allergy Alert Notification: 2020.A12 Allergen(s): Cereals containing gluten Product Identification: Please see table below for detail Message: Gluten was detected in the specified batches of Intenson Bio Cukier Kokosowy (Organic Coconut Sugar). Cereals containing gluten are not declared on the list of ingredients.  This may make the affected batches unsafe for consumers who are allergic to or intolerant of cereals containing gluten.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2020,5,7,ie,Withdrawal of Various Nylon Kitchen Utensils due to Chemical Migration above the EU legal limit,"Withdrawal of Various Nylon Kitchen Utensils due to Chemical Migration above the EU legal limit Tweet Thursday, 7 May 2020 Summary Category 2: For Information Alert Notification: 2020.25 Product: Please refer to table below for details. Batch Code: Please refer to table below for details. Country Of Origin: Unknown Message: The implicated batches of nylon kitchen utensils detailed below are being withdrawn from sale. These affected utensils will give rise to the leaching into food of chemicals (primary aromatic amines) above the EU legal limit.   Health affects are not expected from using these nylon kitchen utensils.
Withdrawal of Various Nylon Kitchen Utensils due to Chemical Migration above the EU legal limit Tweet Thursday, 7 May 2020 Summary Category 2: For Information Alert Notification: 2020.25 Product: Please refer to table below for details. Batch Code: Please refer to table below for details. Country Of Origin: Unknown Message: The implicated batches of nylon kitchen utensils detailed below are being withdrawn from sale. These affected utensils will give rise to the leaching into food of chemicals (primary aromatic amines) above the EU legal limit.   Health affects are not expected from using these nylon kitchen utensils.",migration,food contact materials,other,plastics
2020,5,29,us,"CHS Nutrition Recalls Champion Meat Goat Pellets R20, Medicated Feed, Because of Possible Rumensin (monensin) Health Risk","PGG/HSC Feed Company, LLC, dba CHS Nutrition of Hermiston, Oregon, is recalling 510 bags (50 lbs. each) of Champion Meat Goat Pellets R20, Medicated Feed due to elevated level of Rumensin (monensin). Monensin is an FDA-approved drug for use in certain animal feeds. However, if the feed contains excessive amounts, the feed can cause monensin toxicity in a number of animal species including goats. Goats ingesting excessive levels of monensin in feed are susceptible to injury and death. In goats, signs and symptoms can include bloated stomach, bloody urine, shortness of breath, muscle weakness or cramps, rapid breathing and death. In humans, monensin could affect handlers of highly concentrated products by causing irritation of the skin, eyes, and respiratory tract through direct exposure. People or animals who consume meat or milk from animals exposed to very high levels of monensin are at risk of indirect exposure, which could potentially lead to ingestion toxicity.   Champion Meat Goat Pellets R20, Medicated Feed, was distributed to three consignees in Oregon and Washington between April 20, 2020, and April 29, 2020. NW Farm Supply in Hermiston, Oregon and in Prosser, Washington, further sold the recalled product to downstream customers. The recalled product is pelleted dry feed and bagged in poly bags with the words Payback Champion Feeds printed on the bag. Each bag weighs 50 lbs. The affected lot number 6705 HM928510 04/17/20 and the UPC code 48252 48640 are printed on the tag of each bag. Customers reported that three goats have died, and three additional goats were ill but have recovered to date. The recalled product was found to contain elevated levels of monensin due to a mixing error during manufacturing. The recalled product was put on hold pending testing after a customer complaint. Test results confirmed a higher than expected level and this recall was initiated. CHS Nutrition cannot account for up to 15 bags out of 510 bags distributed to date. If you have the Champion Meat Goat Pellets R20 Medicated fee with the affected lot number 6705 HM928510 04/17/20, please call Kent Hansen at CHS Nutrition in Hermiston, Oregon, at 800-700-2295 or 541-564-0355 between 8 a.m. to 4:30 p.m.PST for replacement. Do not feed affected product to any animal.",other hazard,feed materials,other,feed materials
2020,8,7,ie,Withdrawal of Nylon Serving Spoon with Orange Silicone Rim due to Chemical Migration Above the EU Legal Limit.,"Withdrawal of Nylon Serving Spoon with Orange Silicone Rim due to Chemical Migration Above the EU Legal Limit. Tweet Friday, 7 August 2020 Summary Category 2: For Information Alert Notification: 2020.45 Product: Fiskars Functional Form Spoon Batch Code: Product Code: 1027299 - Batch Code: 191223 Country Of Origin: China Message:   Fiskars Group is withdrawing from sale the above batch of its Fiskars Functional Form Spoon. The implicated utensil may release chemicals (primary aromatic amines) into food. This product may have been purchased from Amazon.  
Withdrawal of Nylon Serving Spoon with Orange Silicone Rim due to Chemical Migration Above the EU Legal Limit. Tweet Friday, 7 August 2020 Summary Category 2: For Information Alert Notification: 2020.45 Product: Fiskars Functional Form Spoon Batch Code: Product Code: 1027299 - Batch Code: 191223 Country Of Origin: China Message:   Fiskars Group is withdrawing from sale the above batch of its Fiskars Functional Form Spoon. The implicated utensil may release chemicals (primary aromatic amines) into food. This product may have been purchased from Amazon.  ",migration,food contact materials,other,plastics
2020,9,28,uk,Lidl GB recalls Cologran Stevia sweetener tablets because of undeclared aspartame (E951),"Lidl GB is recalling Cologran Stevia sweetener tablets (Stevia variant) because aspartame, (E951) is not mentioned on the label. This means the product is a possible health risk to sufferers of phenylketonuria (PKU). Product details Cologran Stevia sweetener tablets Pack size 100 tablets Batch code L 91424 C Best before end date: December 2022 Risk statement This product contains aspartame, (E951), (a source of phenylalanine) making it a possible health risk for sufferers of phenylketonuria (PKU). Action taken by the company Lidl GB is recalling the above product. Point-of-sale notices will be displayed in all Lidl GB stores that are selling this product. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Please see the attached notice. Customer notice: Cologran Stevia sweetner tablets Our advice to consumers If you have bought the above product, and suffer from phenylketonuria (PKU), do not eat it. Instead, return it to the Lidl GB store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-45-2020 Subscribe to news and alerts
Lidl GB is recalling Cologran Stevia sweetener tablets (Stevia variant) because aspartame, (E951) is not mentioned on the label. This means the product is a possible health risk to sufferers of phenylketonuria (PKU). Product details Cologran Stevia sweetener tablets Pack size 100 tablets Batch code L 91424 C Best before end date: December 2022 Risk statement This product contains aspartame, (E951), (a source of phenylalanine) making it a possible health risk for sufferers of phenylketonuria (PKU). Action taken by the company Lidl GB is recalling the above product. Point-of-sale notices will be displayed in all Lidl GB stores that are selling this product. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Please see the attached notice. Customer notice: Cologran Stevia sweetner tablets Our advice to consumers If you have bought the above product, and suffer from phenylketonuria (PKU), do not eat it. Instead, return it to the Lidl GB store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-45-2020 Subscribe to news and alerts",fraud,food additives and flavourings,undeclared additive,sweeteners
2020,10,9,ca,Eggs from Hilly Acres Farm recalled due to Salmonella,"Updated Food Recall Warning - Eggs from Hilly Acres Farm recalled due to Salmonella From: Canadian Food Inspection Agency Recall date: October 9, 2020 Reason for recall: Microbiological - Salmonella Hazard classification: Class 2 Company / Firm: Hilly Acres Farm Distribution: Newfoundland and Labrador, Nova Scotia Extent of the distribution: Retail Contents Recall details What you should do Background Illnesses Related recalls Photos Public enquiries and media Recall details Ottawa, October 9, 2020 - The food recall warning issued on October 8, 2020 has been updated to include additional distribution and product information. This additional information was identified during the Canadian Food Inspection Agency's (CFIA) food safety investigation. Hilly Acres Farm is recalling eggs from the marketplace due to possible Salmonella contamination. Consumers should not consume and distributors, retailers and food service establishments such as hotels, restaurants, cafeterias, hospitals and nursing homes should not serve, sell or use the recalled products described below. The following products have been sold in Newfoundland and Labrador and Cape Breton, Nova Scotia. Only eggs from Hilly Acres Farm with best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package are implicated by the recall. Recalled product Brand Product Size UPC Codes Additional Information Farmer John Eyking Large Size Eggs 12 eggs 0 73557 00002 1 All code dates between September 2 and October 31, 2020, inclusively. Farmer John Eyking Extra Large Size Eggs 12 eggs 0 73557 00001 4 All code dates between September 2 and October 31, 2020, inclusively. Farmer John Eyking Large Size Brown Eggs 12 eggs 0 73557 00005 2 All code dates between September 2 and October 31, 2020, inclusively. Eyking Delite Large Size Eggs 8 eggs 0 73557 00010 6 All code dates between September 2 and October 31, 2020, inclusively. Eyking Delite Extra Large Size Eggs 18 eggs 0 73557 00012 0 All code dates between September 2 and October 31, 2020, inclusively. Eyking Delite Jumbo Size Eggs 12 eggs 0 73557 00011 3 All code dates between September 2 and October 31, 2020, inclusively. Eyking Delite Large Size Eggs 12 eggs 0 73557 00013 7 All code dates between September 2 and October 31, 2020, inclusively. Compliments Large Size Eggs 12 eggs 0 55742 35750 9 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Compliments Extra Large Size Eggs 12 eggs 0 55742 35751 6 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Compliments Medium Size Eggs 12 eggs 0 55742 35749 3 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Compliments Large Size Brown Eggs 12 eggs 0 55742 35753 6 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. None Medium Eggs Sold in flats of 30 eggs None All code dates between September 2 and October 31, 2020, inclusively. Boxes are marked ""N38"" None Large Eggs Sold in flats of 30 eggs None All code dates between September 2 and October 31, 2020, inclusively. Boxes are marked ""N38"" no name Large Size Eggs 12 eggs 0 60383 66414 5 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. no name Extra Large Size Eggs 12 eggs 0 60383 66413 8 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. no name Medium Size Eggs 12 eggs 0 60383 66415 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. no name Large Size Brown Eggs 12 eggs 0 60383 66417 6 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Maritime Pride Jumbo Size Eggs 12 eggs 7 70004 14470 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Maritime Pride Extra Large Size Eggs 18 eggs 7 70004 14418 4 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Maritime Pride Medium eggs 30 eggs 7 70004 14414 6 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Medium Size White Eggs 12 eggs 0 59001 01114 0 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Ultra Jumbo Size White Eggs 12 eggs 0 59001 90104 5 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Eggsquisite Large White Eggs 6 eggs 0 67799 08006 4 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs All Grain Eggs Large Size 12 eggs 0 67799 08112 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Large Size White Eggs 18 eggs 0 59001 90118 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Extra Large Size White Eggs 18 eggs 0 59001 91119 8 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Large Size Brown Eggs 12 eggs 0 59001 01123 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Nova Eggs Ultra Extra Large Size Brown Eggs 12 eggs 0 67799 08104 7 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Great Value Large Size Eggs 12 eggs 6 81131 91195 5 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Great Value Extra Large Size Eggs 12 eggs 6 81131 91196 2 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. Great Value Extra Large Size Eggs 18 eggs 6 28915 01349 8 All best before dates from September 2, 2020 to October 31, 2020 inclusively where the lot code contains ""38"" or ""N38"" or where there is no lot code on the package. These products may have been sold without a lot code. Consumers who are unsure are advised to check with their retailer. What you should do If you think you became sick from consuming a recalled product, call your doctor. Check to see if you have the recalled products in your home or establishment. Recalled products should be thrown out or returned to the store where they were purchased. Food contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis. Learn more about the health risks Sign up for recall notifications by email and follow us on social media View our detailed explanation of the food safety investigation and recall process Report a food safety or labelling concern Background This recall was triggered by the company test results. The CFIA is conducting a food safety investigation, which may lead to the recall of other products. If other high-risk products are recalled, the CFIA will notify the public through updated Food Recall Warnings. The CFIA is verifying that industry is removing the recalled products from the marketplace. Illnesses There have been no reported illnesses associated with the consumption of these products. Related recalls 2020-10-08 - Eggs from Hilly Acres Farm recalled due to Salmonella Product photos Printer ready version of photos Public enquiries and media Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: cfia.enquiries-demandederenseignements.acia@canada.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@canada.ca Report a problem on this page Date modified: 2020-10-09",fraud,food contact materials,other,varnishes and coatings
